network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius
1.0.0.0/24,2077456,2077456,,0,0,,-33.494,143.2104,1000
1.0.1.0/24,1814991,1814991,,0,0,,34.7725,113.7266,50
1.0.2.0/23,1814991,1814991,,0,0,,34.7725,113.7266,50
1.0.4.0/22,2077456,2077456,,0,0,,-33.494,143.2104,1000
1.0.8.0/21,1814991,1814991,,0,0,,34.7725,113.7266,50
1.0.16.0/20,1861060,1861060,,0,0,,35.69,139.69,500
1.0.32.0/19,1814991,1814991,,0,0,,34.7725,113.7266,50
1.0.64.0/23,1862415,1861060,,0,0,733-0871,34.3903,132.4193,5
1.0.66.0/24,1862415,1861060,,0,0,739-0311,34.4207,132.6018,5
1.0.67.0/24,1862415,1861060,,0,0,731-0221,34.5146,132.5144,20
1.0.68.0/24,1853655,1861060,,0,0,143-0021,35.5993,139.7075,500
1.0.69.0/24,1863018,1861060,,0,0,738-0013,34.3473,132.3361,50
1.0.70.0/23,1862415,1861060,,0,0,733-0871,34.3903,132.4193,10
1.0.72.0/24,1862415,1861060,,0,0,733-0871,34.3903,132.4193,50
1.0.73.0/24,1862415,1861060,,0,0,731-0121,34.4597,132.4745,10
1.0.74.0/23,1862415,1861060,,0,0,736-0081,34.3807,132.526,1000
1.0.76.0/24,1862415,1861060,,0,0,731-0121,34.4597,132.4745,10
1.0.77.0/24,1862415,1861060,,0,0,734-0011,34.3401,132.4439,5
1.0.78.0/23,1862415,1861060,,0,0,730-0000,34.4,132.45,200
1.0.80.0/23,1857550,1861060,,0,0,690-0121,35.4775,133.0333,20
1.0.82.0/23,1849892,1861060,,0,0,680-0061,35.4917,134.2333,200
1.0.84.0/24,1849892,1861060,,0,0,680-0081,35.4917,134.2333,5
1.0.85.0/24,1853174,1861060,,0,0,684-0071,35.5322,133.2018,20
1.0.86.0/24,1861084,1861060,,0,0,693-0031,35.2673,132.6974,100
1.0.87.0/24,1848277,1861060,,0,0,683-0851,35.4631,133.6428,20
1.0.88.0/24,1852442,1861060,,0,0,696-1131,35.0769,132.5611,50
1.0.89.0/24,1848277,1861060,,0,0,683-0101,35.4975,133.257,50
1.0.90.0/24,1849892,1861060,,0,0,680-0013,35.5,134.2333,100
1.0.91.0/24,1857550,1861060,,0,0,690-0011,35.4364,133.0619,1
1.0.92.0/23,1857550,1861060,,0,0,699-0101,35.4326,133.1637,100
1.0.94.0/23,1849892,1861060,,0,0,680-0941,35.5392,134.182,100
1.0.96.0/23,1857550,1861060,,0,0,690-0041,35.4476,133.0815,200
1.0.98.0/24,1857550,1861060,,0,0,690-0861,35.4498,133.0435,100
1.0.99.0/24,1848482,1861060,,0,0,692-0011,35.4215,133.2422,10
1.0.100.0/23,1857550,1861060,,0,0,690-0011,35.4364,133.0619,20
